Case,Size,Direct_Time,FFT_Time
Fixed_M_512,64,0.237569,0.596968
Fixed_M_512,128,0.58924,0.557418
Fixed_M_512,256,0.453365,0.713589
Fixed_M_512,512,0.734062,0.521646
Fixed_M_512,1024,1.60702,1.18997
Fixed_M_512,2048,2.33721,2.60932
Fixed_M_512,4096,4.61176,5.57391
Variable_Both,64,0.0233373,0.092299
Variable_Both,128,0.084518,0.201734
Variable_Both,256,0.345832,0.423989
Variable_Both,512,1.096,0.781631
Variable_Both,1024,4.15272,1.37203
Variable_Both,2048,12.0924,2.4532
Variable_Both,4096,46.9366,5.14453
